ordem,operacao,centro_trabalho_id,centro_trabalho,data_inicio_base,hora_inicio_base,data_fim_base,hora_fim_base,indice_irpe,quantidade_executantes,esforco_individual,unidade_esforco_individual,chave_modelo,equipamento_ordem,local_instalacao_ordem,roteiro_operacoes,lista_tarefas_id,qualificacao,proficiencia_qualif,habilidade,proficiencia_hab
4011580,10,10000001,BM_EELET,12/1/2025,00:00:01,12/1/2025,23:59:59,10,1,1,H,,10000051,ITSS-GYN1-PRED-SLRN,1000011581,,,,,
4011580,20,10000001,BM_EELET,12/1/2025,00:00:01,12/1/2025,23:59:59,10,1,1,H,10,10000051,ITSS-GYN1-PRED-SLRN,1000011581,,,,,
4011580,30,10000036,ITSS_JL,12/1/2025,00:00:01,12/1/2025,23:59:59,10,1,2,H,,10000051,ITSS-GYN1-PRED-SLRN,1000011581,,,,,
4011580,40,10000036,ITSS_JL,12/1/2025,00:00:01,12/1/2025,23:59:59,10,1,2,H,,10000051,ITSS-GYN1-PRED-SLRN,1000011581,,,,,
4011580,50,10000036,ITSS_JL,12/1/2025,00:00:01,12/1/2025,23:59:59,10,1,2,H,,10000051,ITSS-GYN1-PRED-SLRN,1000011581,,,,,
4011580,60,10000036,ITSS_JL,12/1/2025,00:00:01,12/1/2025,23:59:59,10,1,2,H,,10000051,ITSS-GYN1-PRED-SLRN,1000011581,,,,,
4011580,70,10000036,ITSS_JL,12/1/2025,00:00:01,12/1/2025,23:59:59,10,1,2,H,,10000051,ITSS-GYN1-PRED-SLRN,1000011581,,,,,
4011620,10,10000001,BM_EELET,12/1/2025,00:00:01,12/1/2025,23:59:59,10,1,1,H,,10000051,ITSS-GYN1-PRED-SLRN,1000011621,,,,,
4011621,10,10000001,BM_EELET,12/1/2025,00:00:01,12/1/2025,23:59:59,10,1,1,H,,10000051,ITSS-GYN1-PRED-SLRN,1000011622,,,,,
4011622,10,10000001,BM_EELET,12/1/2025,00:00:01,12/1/2025,23:59:59,10,1,1,H,,10000051,ITSS-GYN1-PRED-SLRN,1000011623,,,,,
4011626,10,10000001,BM_EELET,12/1/2025,00:00:01,12/1/2025,23:59:59,10,1,1,H,,10000051,ITSS-GYN1-PRED-SLRN,1000011627,,,,,
4011703,10,10000001,BM_EELET,12/1/2025,00:00:01,12/1/2025,23:59:59,10,1,1,H,,10000051,ITSS-GYN1-PRED-SLRN,1000011704,,,,,
4011704,10,10000001,BM_EELET,12/1/2025,00:00:01,12/1/2025,23:59:59,10,1,1,H,,10000051,ITSS-GYN1-PRED-SLRN,1000011705,,,,,
4011705,10,10000001,BM_EELET,12/1/2025,00:00:01,12/1/2025,23:59:59,10,1,1,H,,10000051,ITSS-GYN1-PRED-SLRN,1000011706,,,,,
4011706,10,10000001,BM_EELET,12/1/2025,00:00:01,12/1/2025,23:59:59,10,1,1,H,,10000051,ITSS-GYN1-PRED-SLRN,1000011707,,,,,
4011867,10,10000036,ITSS_JL,15/2/2025,00:00:01,15/2/2025,23:59:59,20,1,"0,5",H,,10000057,,1000011868,,,,,
4011867,60,10000036,ITSS_JL,15/2/2025,00:00:01,15/2/2025,23:59:59,20,1,"0,5",H,,10000057,,1000011868,,,,,
4011867,70,10000036,ITSS_JL,15/2/2025,00:00:01,15/2/2025,23:59:59,20,1,"0,5",H,,10000057,,1000011868,,,,,
4011867,80,10000036,ITSS_JL,15/2/2025,00:00:01,15/2/2025,23:59:59,20,1,"0,5",H,,10000057,,1000011868,,,,,
4011868,10,10000036,ITSS_JL,15/2/2025,00:00:01,15/2/2025,23:59:59,20,1,"0,5",H,,10000057,,1000011869,,,,,
4011868,60,10000036,ITSS_JL,15/2/2025,00:00:01,15/2/2025,23:59:59,20,1,"0,5",H,,10000057,,1000011869,,,,,
4011868,70,10000036,ITSS_JL,15/2/2025,00:00:01,15/2/2025,23:59:59,20,1,"0,5",H,,10000057,,1000011869,,,,,
4011868,80,10000036,ITSS_JL,15/2/2025,00:00:01,15/2/2025,23:59:59,20,1,"0,5",H,,10000057,,1000011869,,,,,
