ordem,operacao,matricula,data_inicio_base,horario_alocado
4012691,10,20,06/01/2025,nan
4012545,10,60,09/01/2025,14:03:00
4012828,10,20,07/01/2025,9:00:00
4012902,20,20,09/01/2025,14:03:00
4012902,10,20,09/01/2025,14:03:00
4012171,30,20,09/01/2025,14:03:00
4012171,30,60,09/01/2025,14:03:00
4012171,30,20,09/01/2025,14:03:00
4013122,10,60,09/01/2025,nan
4012899,10,20,09/01/2025,14:03:00
4012582,10,20,07/01/2025,8:00:00
4012582,20,20,07/01/2025,8:00:00
4012582,30,20,07/01/2025,8:00:00
4012582,30,3,07/01/2025,8:00:00
4012582,30,20,07/01/2025,8:00:00
4008832,10,60,05/01/2025,nan
4012516,10,60,09/01/2025,14:03:00
4012908,30,60,10/01/2025,9:38:41
4012908,20,20,10/01/2025,9:38:41
4012908,10,20,10/01/2025,9:38:41
4012704,10,60,07/01/2025,8:00:00
4008840,10,20,06/01/2025,nan
4011148,10,20,12/01/2025,nan
4011147,10,20,12/01/2025,nan
4011146,10,60,12/01/2025,nan
4011145,10,60,12/01/2025,nan
4008980,10,60,06/01/2025,nan
4008862,10,60,06/01/2025,nan
4008840,20,20,06/01/2025,nan
4013035,10,20,12/01/2025,nan
